Start State,Algorithm,Runtime,Nodes Expanded,Search Depth
265087431,BFS,2.4114,114902,23
265087431,DFS,0.5015,55682,45
265087431,UCS,2.8139,103936,23
265087431,IDS,5.9885,674066,30
265087431,BFS,2.4019,114902,23
265087431,BFS,2.4344,114902,23
265087431,BFS,2.4127,114902,23
265087431,DFS,0.5079,55682,45
265087431,BFS,2.4271,114902,23
265087431,Greedy,0.0105,455,79
265087431,A Star,0.0095,459,23
265087431,IDA Star,0.0193,1649,23
265087431,SHC,0.0,5,2
265087431,S-AHC,0.0,5,2
265087431,StoHC,0.0,5,2
265087431,Beam,0.0045,603,53
265087431,SA,0.1515,19510,7872
265087431,Gen,0.0895,2800,32
265087431,SHC,0.0,5,2
265087431,SA,0.1519,19510,7867
265087431,SA,0.001,135,127
265087431,SA,0.0015,135,125
265087431,SA,0.0016,135,128
265087431,SA,0.0027,135,126
265087431,SA,0.001,135,125
265087431,SA,0.001,135,128
265087431,SA,0.001,135,126
265087431,SA,0.0011,135,127
265087431,SA,0.001,135,126
265087431,SA,0.001,135,125
265087431,SA,0.0021,135,129
265087431,SA,0.001,135,130
265087431,SA,0.006,688,639
265087431,SA,0.006,688,645
265087431,SA,0.0053,688,648
265087431,SA,0.0056,688,640
265087431,SA,0.0061,688,639
265087431,SA,0.002,135,124
265087431,SHC,0.0,5,2
265087431,S-AHC,0.0,5,2
265087431,StoHC,0.0,5,2
265087431,Beam,0.003,603,53
265087431,Beam,0.0039,603,53
265087431,Greedy,0.0096,455,79
265087431,A Star,0.0086,459,23
265087431,IDA Star,0.0191,1649,23
265087431,SHC,0.0,5,2
265087431,S-AHC,0.0,5,2
265087431,StoHC,0.0,5,2
265087431,SA,0.002,135,128
265087431,Gen,0,0,0
265087431,Gen,0,0,0
265087431,Gen,12.6524,403400,38
265087431,And-Or,0.5022,109331,50
123045678,BFS,0.1382,8431,15
265087431,BFS,2.4077,114902,23
265087431,BFS,2.3897,114902,23
265087431,BFS,2.4152,114902,23
087235641,BFS,3.4221,167423,26
